datetime;total_votes;madobad;Перелив;Der_Sturmer;TheWho;KOCTOPE3;wintercyclone;Jayola;Needlefang;Shambala;kupal
2019-07-31 00:33:58;18;2;3;0;0;0;0;1;0;3;2
2019-07-31 00:34:59;18;2;3;0;0;0;0;1;0;3;2
2019-07-31 00:35:59;18;2;3;0;0;0;0;1;0;3;2
2019-07-31 00:36:58;18;2;3;0;0;0;0;1;0;3;2
2019-07-31 00:37:59;18;2;3;0;0;0;0;1;0;3;2
2019-07-31 00:38:59;18;2;3;0;0;0;0;1;0;3;2
2019-07-31 00:39:58;18;2;3;0;0;0;0;1;0;3;2
2019-07-31 00:40:59;19;2;3;1;0;0;0;1;0;3;2
2019-07-31 00:41:59;19;2;3;1;0;0;0;1;0;3;2
2019-07-31 00:42:58;20;3;3;1;0;0;0;1;0;3;2
2019-07-31 00:43:59;21;3;3;2;0;0;0;1;0;3;2
2019-07-31 00:44:58;22;3;3;3;0;0;0;1;0;3;2
2019-07-31 00:45:59;22;3;3;3;0;0;0;1;0;3;2
2019-07-31 00:46:59;23;3;4;3;0;0;0;1;0;3;2
2019-07-31 00:47:58;23;3;4;3;0;0;0;1;0;3;2
2019-07-31 00:48:59;24;3;4;4;0;0;0;1;0;3;2
2019-07-31 00:49:59;24;3;4;4;0;0;0;1;0;3;2
2019-07-31 00:50:58;25;3;4;4;0;0;0;1;0;3;2
2019-07-31 00:51:59;27;3;5;4;0;0;0;1;0;3;2
2019-07-31 00:52:59;26;3;5;4;0;0;0;1;0;3;2
2019-07-31 00:53:58;27;3;5;4;0;0;0;1;1;3;2
2019-07-31 00:54:59;28;3;5;4;0;0;0;0;1;3;2
2019-07-31 00:55:59;29;3;5;4;0;0;0;0;1;3;2
2019-07-31 00:56:59;29;3;5;4;0;0;0;0;1;3;2
2019-07-31 00:57:58;29;3;5;4;0;0;0;0;1;3;2
2019-07-31 00:58:59;29;3;5;4;0;0;0;0;1;3;2
2019-07-31 00:59:58;30;4;5;4;0;0;0;0;1;3;2
2019-07-31 01:00:59;30;4;5;4;0;0;0;0;1;3;2
2019-07-31 01:01:58;31;4;5;4;0;0;0;0;1;3;2
2019-07-31 01:02:59;31;4;5;4;0;0;0;0;1;3;2
2019-07-31 01:03:59;31;4;5;4;0;0;0;0;1;3;2
2019-07-31 01:04:58;31;4;5;4;0;0;0;0;1;3;2
2019-07-31 01:05:59;31;4;5;4;0;0;0;0;1;3;2
2019-07-31 01:06:59;31;4;5;4;0;0;0;0;1;3;2
2019-07-31 01:07:58;33;4;5;5;0;0;0;0;1;3;3
2019-07-31 01:08:59;33;4;5;5;0;0;0;0;1;3;3
2019-07-31 01:09:59;33;4;5;5;0;0;0;0;1;3;3
2019-07-31 01:10:58;33;4;5;5;0;0;0;0;1;3;3
2019-07-31 01:11:59;33;4;5;5;0;0;0;0;1;3;3
2019-07-31 01:12:58;33;4;5;5;0;0;0;0;1;3;3
2019-07-31 01:13:59;33;4;5;5;0;0;0;0;1;3;3
2019-07-31 01:14:59;33;4;5;5;0;0;0;0;1;3;3
2019-07-31 01:15:58;33;4;5;5;0;0;0;0;1;3;3
2019-07-31 01:16:59;35;4;6;5;0;0;0;0;1;4;3
2019-07-31 01:17:59;35;4;6;5;0;0;0;0;1;4;3
2019-07-31 01:18:58;36;4;6;6;0;1;0;0;2;4;3
2019-07-31 01:19:59;36;4;6;6;0;1;0;0;2;4;3
2019-07-31 01:20:59;37;4;6;6;0;1;0;0;2;5;3
2019-07-31 01:21:58;37;4;6;6;0;1;0;0;2;5;3
2019-07-31 01:22:59;37;4;6;6;0;1;0;0;2;5;3
2019-07-31 01:23:59;38;5;6;6;0;1;0;0;2;5;3
2019-07-31 01:24:59;38;5;6;6;0;1;0;0;2;5;3
2019-07-31 01:25:58;38;5;6;6;0;1;0;0;2;5;3
2019-07-31 01:26:59;38;5;6;6;0;1;0;0;2;5;3
2019-07-31 01:27:59;38;5;6;6;0;1;0;0;2;5;3
2019-07-31 01:28:58;40;5;6;6;0;1;0;0;3;6;3
2019-07-31 01:29:59;41;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:30:59;41;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:31:58;41;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:32:59;41;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:33:58;41;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:34:59;41;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:35:59;41;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:36:58;41;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:37:59;41;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:38:59;41;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:39:58;41;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:40:59;42;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:41:59;42;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:42:58;42;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:43:59;42;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:44:59;42;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:45:58;42;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:46:59;42;5;6;6;0;0;0;0;3;6;3
2019-07-31 01:47:58;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 01:48:59;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 01:49:59;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 01:50:58;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 01:51:59;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 01:52:59;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 01:53:58;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 01:54:59;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 01:55:58;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 01:56:59;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 01:57:59;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 01:58:58;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 01:59:59;43;5;7;6;0;0;0;0;3;6;3
2019-07-31 02:00:59;44;6;7;6;0;0;0;0;3;6;3
2019-07-31 02:01:58;45;6;8;6;0;0;0;0;3;6;3
2019-07-31 02:02:59;45;6;8;6;0;0;0;0;3;6;3
2019-07-31 02:03:58;46;7;8;6;0;0;0;0;3;6;3
2019-07-31 02:04:59;46;7;8;6;0;0;0;0;3;6;3
2019-07-31 02:05:59;46;7;8;6;0;0;0;0;3;6;3
2019-07-31 02:06:58;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:07:59;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:08:59;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:09:58;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:10:59;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:11:59;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:12:58;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:13:59;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:14:58;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:15:59;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:16:59;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:17:58;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:18:59;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:19:59;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:20:58;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:21:59;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:22:59;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:23:58;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:24:59;47;8;8;6;0;0;0;0;3;6;3
2019-07-31 02:25:59;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:26:58;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:27:59;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:28:59;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:29:58;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:30:59;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:31:58;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:32:59;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:33:59;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:34:58;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:35:59;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:36:59;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:37:58;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:38:59;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:39:59;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:40:58;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:41:59;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:42:58;48;8;8;7;0;0;0;0;3;6;3
2019-07-31 02:43:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:44:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:45:58;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:46:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:47:58;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:48:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:49:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:50:58;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:51:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:52:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:53:58;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:54:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:55:58;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:56:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:57:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:58:58;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 02:59:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 03:00:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 03:01:58;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 03:02:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 03:03:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 03:04:58;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 03:05:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 03:06:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 03:07:58;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 03:08:59;49;8;8;8;0;0;0;0;3;6;3
2019-07-31 03:09:59;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:10:58;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:11:59;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:12:59;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:13:58;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:14:59;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:16:00;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:16:58;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:17:59;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:18:58;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:19:59;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:20:59;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:21:58;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:22:59;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:23:59;50;8;8;9;0;0;0;0;3;6;3
2019-07-31 03:24:58;51;9;8;9;0;0;0;0;3;6;3
2019-07-31 03:25:59;51;9;8;9;0;0;0;0;3;6;3
2019-07-31 03:26:59;52;10;8;9;0;0;0;0;3;6;3
2019-07-31 03:27:58;52;10;8;9;0;0;0;0;3;6;3
2019-07-31 03:28:59;53;10;8;10;0;0;0;0;3;6;3
2019-07-31 03:29:59;53;10;8;10;0;0;0;0;3;6;3
2019-07-31 03:30:58;53;10;8;10;0;0;0;0;3;6;3
2019-07-31 03:31:59;53;10;8;10;0;0;0;0;3;6;3
2019-07-31 03:32:58;53;10;8;10;0;0;0;0;3;6;3
2019-07-31 03:33:59;53;10;8;10;0;0;0;0;3;6;3
2019-07-31 03:34:59;53;10;8;10;0;0;0;0;3;6;3
2019-07-31 03:35:58;53;10;8;10;0;0;0;0;3;6;3
2019-07-31 03:36:59;53;10;8;10;0;0;0;0;3;6;3
2019-07-31 03:37:58;53;10;8;10;0;0;0;0;3;6;3
2019-07-31 03:38:59;54;10;8;11;0;0;0;0;3;6;3
2019-07-31 03:39:59;54;10;8;11;0;0;0;0;3;6;3
2019-07-31 03:40:58;54;10;8;11;0;0;0;0;3;6;3
2019-07-31 03:41:59;54;10;8;11;0;0;0;0;3;6;3
2019-07-31 03:42:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:43:58;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:44:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:45:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:46:58;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:47:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:48:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:49:58;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:50:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:51:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:52:58;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:53:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:54:58;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:55:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:56:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:57:58;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:58:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 03:59:58;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 04:00:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 04:01:58;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 04:02:59;55;10;8;11;0;0;0;0;4;6;3
2019-07-31 04:03:59;56;10;8;12;0;0;0;0;4;6;3
2019-07-31 04:04:58;56;10;8;12;0;0;0;0;4;6;3
2019-07-31 04:05:59;56;10;8;12;0;0;0;0;4;6;3
2019-07-31 04:06:59;58;10;8;12;0;0;2;0;4;6;3
2019-07-31 04:07:58;60;10;8;12;0;0;4;0;4;6;3
2019-07-31 04:08:59;60;10;8;12;0;0;4;0;4;6;3
2019-07-31 04:09:59;60;10;8;12;0;0;4;0;4;6;3
2019-07-31 04:10:58;60;10;8;12;0;0;4;0;4;6;3
2019-07-31 04:11:59;60;10;8;12;0;0;4;0;4;6;3
2019-07-31 04:12:59;60;10;8;12;0;0;4;0;4;6;3
2019-07-31 04:13:58;60;10;8;12;0;0;4;0;4;6;3
2019-07-31 04:14:59;60;10;8;12;0;0;4;0;4;6;3
2019-07-31 04:15:58;61;10;8;13;0;0;4;0;4;6;3
2019-07-31 04:16:59;62;10;8;13;0;1;4;0;4;6;3
2019-07-31 04:17:59;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:18:58;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:19:59;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:20:59;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:21:58;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:22:59;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:23:59;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:24:58;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:25:59;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:27:00;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:27:58;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:28:59;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:29:58;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:30:59;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:31:59;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:33:00;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:33:58;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:34:59;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:35:58;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:36:59;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:37:59;63;10;8;14;0;1;4;0;4;6;3
2019-07-31 04:38:58;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:39:59;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:40:59;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:41:58;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:42:59;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:43:59;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:44:58;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:45:59;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:46:58;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:47:59;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:48:59;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:49:58;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:50:59;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:51:59;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:52:58;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:53:59;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:54:59;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:55:58;64;11;8;14;0;1;4;0;4;6;3
2019-07-31 04:56:59;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 04:57:59;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 04:58:58;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 04:59:59;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:00:59;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:01:58;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:02:59;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:04:00;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:04:58;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:05:59;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:06:59;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:07:58;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:08:59;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:09:58;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:10:59;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:12:00;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:12:58;65;11;8;14;0;1;4;2;4;6;3
2019-07-31 05:13:59;66;12;8;14;0;1;4;2;4;6;3
2019-07-31 05:14:58;66;12;8;14;0;1;4;2;4;6;3
2019-07-31 05:15:59;66;12;8;14;0;1;4;2;4;6;3
2019-07-31 05:16:59;66;12;8;14;0;1;4;2;4;6;3
2019-07-31 05:17:58;67;13;8;14;0;1;4;2;4;6;3
2019-07-31 05:18:59;67;13;8;14;0;1;4;2;4;6;3
2019-07-31 05:19:59;67;13;8;14;0;1;4;2;4;6;3
2019-07-31 05:20:58;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:21:59;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:22:59;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:23:58;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:24:59;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:25:59;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:26:58;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:27:59;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:28:58;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:29:59;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:30:59;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:31:58;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:32:59;67;13;8;15;0;1;4;0;4;6;3
2019-07-31 05:33:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:34:58;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:35:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:36:58;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:37:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:38:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:39:58;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:40:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:41:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:42:58;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:43:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:44:58;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:45:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:46:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:47:58;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:48:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:49:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:50:58;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:51:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:52:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:53:58;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:54:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:56:00;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:56:58;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:57:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:58:58;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 05:59:59;68;14;8;15;0;1;4;0;4;6;3
2019-07-31 06:00:59;68;15;8;15;0;1;4;0;4;5;3
2019-07-31 06:01:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:02:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:03:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:04:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:05:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:06:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:07:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:08:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:09:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:10:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:11:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:12:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:13:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:14:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:15:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:16:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:17:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:18:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:19:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:20:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:21:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:22:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:23:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:24:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:25:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:26:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:27:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:28:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:29:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:30:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:31:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:32:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:33:59;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:34:58;69;16;8;15;0;1;4;0;4;5;3
2019-07-31 06:35:59;69;16;8;15;0;1;4;0;4;5;3
